UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,9,4011235,2053150,1958085,1452496,1381257,313324,303369,35521,34200,121735,115188,6739,6480,123335,117591,1565634,1489093,379494,366874,59998,57586,168088,159008,15765,15087,1530213,1455215,1015307,960599,280409,271843,16620,15962,115052,108764,4361,4183,98464,93864,1106088,1047125,333753,323112,32552,31174,153783,145297,10985,10476,522937,502870,437189,420658,32915,31526,18901,18238,6683,6424,2378,2297,24871,23727,459546,441968,45741,43762,27446,26412,14305,13711,4780,4611
R,7,2021,10,4055389,2080465,1974924,1480700,1401073,315703,304935,34083,32812,119471,112625,6667,6338,123841,117141,1594383,1508509,382021,368030,58922,56526,165816,156098,15778,14864,1543882,1460527,1026992,966962,284178,274093,16918,16004,112930,106400,4324,4091,98540,92977,1117893,1052661,337574,324752,33039,31356,151491,142516,10985,10285,536583,514397,453708,434111,31525,30842,17165,16808,6541,6225,2343,2247,25301,24164,476490,455848,44447,43278,25883,25170,14325,13582,4793,4579
R,7,2021,11,4139966,2120662,2019304,1518336,1439872,320563,309423,33642,32514,118162,112455,6391,6225,123568,118815,1632057,1548969,386906,373780,58567,56836,163803,155828,15273,14714,1568326,1490394,1047523,989069,289571,279644,17096,16765,111877,106540,4297,4153,97962,94223,1138109,1075973,342840,331220,33123,32572,149769,142621,10803,10312,552336,528910,470813,450803,30992,29779,16546,15749,6285,5915,2094,2072,25606,24592,493948,472996,44066,42560,25444,24264,14034,13207,4470,4402
R,7,2021,12,4228509,2165265,2063244,1556521,1476243,329482,319034,33902,32574,117116,112260,6430,6391,121814,116742,1668361,1583565,395095,382575,58607,55845,161674,154539,15081,14734,1604810,1527478,1076918,1017969,298406,288965,17636,17065,110777,106325,4347,4332,96726,92822,1166127,1103713,351267,340308,33560,32012,147893,141623,10702,10454,560455,535766,479603,458274,31076,30069,16266,15509,6339,5935,2083,2059,25088,23920,502234,479852,43828,42267,25047,23833,13781,12916,4379,4280
R,7,2021,13,4390229,2249174,2141055,1620331,1534717,341949,331405,35511,33876,122012,116684,6699,6447,122672,117926,1732868,1642886,407951,395905,60284,57712,166854,159086,15670,14750,1665972,1586043,1119417,1058888,310039,300629,18424,17800,115795,110688,4569,4285,97728,93753,1209439,1145227,363501,352829,34480,33096,153252,146014,11134,10389,583202,555012,500914,475829,31910,30776,17087,16076,6217,5996,2130,2162,24944,24173,523429,497659,44450,43076,25804,24616,13602,13072,4536,4361
R,7,2021,14,4382415,2245932,2136483,1625025,1540286,340320,327889,35865,33938,119970,113913,6615,6498,118137,113959,1733419,1644615,403578,389557,60182,57483,163189,154959,15281,14811,1666503,1583561,1126990,1064751,309022,297956,18317,17849,113660,108086,4529,4355,93985,90564,1213622,1147978,360149,347941,34095,32989,149638,142332,10912,10451,579429,552922,498035,475535,31298,29933,17548,16089,6310,5827,2086,2143,24152,23395,519797,496637,43429,41616,26087,24494,13551,12627,4369,4360
R,7,2021,15,4309985,2206536,2103449,1607937,1523420,327260,319263,34743,33257,117694,113661,6461,6243,112441,107605,1711031,1622032,386593,376610,58380,55815,159211,152904,14668,14064,1643574,1565324,1121913,1059227,297684,290509,18082,17529,111713,108157,4407,4241,89775,85661,1204529,1138034,345883,337117,33446,32088,146540,140899,10481,9962,562962,538125,486024,464193,29576,28754,16661,15728,5981,5504,2054,2002,22666,21944,506502,483998,40710,39493,24934,23727,12671,12005,4187,4102
R,7,2021,16,4271255,2187033,2084222,1599562,1513455,321139,311192,34162,33036,118528,116814,6448,6228,107194,103497,1697583,1607919,376972,365607,57332,55269,158386,154823,14316,13788,1637290,1560661,1124055,1060965,292497,283688,17915,17360,112801,111429,4435,4353,85587,82866,1202638,1136856,337800,328066,32989,31808,146307,143462,10259,9989,549743,523561,475507,452490,28642,27504,16247,15676,5727,5385,2013,1875,21607,20631,494945,471063,39172,37541,24343,23461,12079,11361,4057,3799
R,7,2021,17,4302359,2203414,2098945,1619428,1530126,319611,310657,33593,32453,120547,119170,6286,5977,103949,100562,1714542,1622044,373000,362874,56361,54560,159426,156360,14005,13438,1662769,1582142,1150437,1082175,291826,284109,17901,17183,114903,113884,4407,4158,83295,80633,1226960,1156100,335299,326717,32945,31911,147662,145208,10170,9670,540645,516803,468991,447951,27785,26548,15692,15270,5644,5286,1879,1819,20654,19929,487582,465944,37701,36157,23416,22649,11764,11152,3835,3768
R,7,2021,18,4270802,2187867,2082935,1610705,1520128,316437,308801,33301,31722,122017,120368,6262,5974,99145,95942,1701119,1607737,367104,357846,55714,53562,158926,155995,13828,13073,1656040,1574954,1148828,1078661,289089,283167,17568,16883,116547,115123,4389,4209,79619,76911,1221707,1149173,330402,323147,32471,31416,147724,145110,10040,9570,531827,507981,461877,441467,27348,25634,15733,14839,5470,5245,1873,1765,19526,19031,479412,458564,36702,34699,23243,22146,11202,10885,3788,3503
R,7,2021,19,4416896,2248331,2168565,1653998,1581677,331642,327885,34301,32764,124042,123402,6203,6055,98145,96782,1743553,1669707,381635,377891,57056,55555,160163,158404,13562,13294,1704805,1644357,1181108,1125324,303803,301170,18330,17734,118595,118195,4394,4244,78575,77690,1253065,1196288,344595,342040,33342,32990,148972,147656,9957,9724,543526,524208,472890,456353,27839,26715,15971,15030,5447,5207,1809,1811,19570,19092,490488,473419,37040,35851,23714,22565,11191,10748,3605,3570
R,7,2021,20,4701551,2394849,2306702,1755930,1679141,357497,352557,35894,34683,136521,134547,6429,6355,102578,99419,1849255,1769686,409584,403469,60173,58157,174259,170618,14096,13855,1823372,1756895,1257852,1199461,328423,324977,19479,18960,130863,129212,4619,4407,82136,79878,1332723,1272434,370791,366690,35778,34781,162761,159718,10377,10059,571477,549807,498078,479680,29074,27580,16415,15723,5658,5335,1810,1948,20442,19541,516532,497252,38793,36779,24395,23376,11498,10900,3719,3796
R,7,2021,21,4639681,2373945,2265736,1740346,1647391,358772,350977,36078,34276,133787,131393,6539,6147,98423,95552,1829963,1733964,408617,400189,60259,57628,169226,165558,13928,13377,1814733,1734247,1252492,1184047,330526,324009,19796,18869,128262,126198,4685,4375,78972,76749,1324560,1253781,371156,364204,36100,34754,158323,154979,10306,9834,559212,531489,487854,463344,28246,26968,16282,15407,5525,5195,1854,1772,19451,18803,505403,480183,37461,35985,24159,22874,10903,10579,3622,3543
R,7,2021,22,4458706,2286804,2171902,1680260,1583066,342602,333961,34076,32718,129754,126488,6351,5818,93761,89851,1765393,1664430,389688,379783,57405,55336,163566,158436,13811,12749,1757540,1670063,1218578,1145581,315774,308492,18908,18166,124419,121470,4512,4169,75349,72185,1287167,1211103,354234,346064,34905,33737,152989,148265,10190,9454,529264,501839,461682,437485,26828,25469,15168,14552,5335,5018,1839,1649,18412,17666,478226,453327,35454,33719,22500,21599,10577,10171,3621,3295
R,7,2021,23,4370660,2244766,2125894,1644713,1544319,337902,328007,33355,32029,133547,130017,6239,5797,89010,85725,1725217,1621946,382244,371244,56048,54028,165483,160407,13234,12415,1732567,1643238,1197485,1123178,312230,303772,18382,17950,128446,125134,4520,4157,71504,69047,1262300,1185880,348470,339163,33928,33225,155448,150802,9897,9212,512199,482656,447228,421141,25672,24235,14973,14079,5101,4883,1719,1640,17506,16678,462917,436066,33774,32081,22120,20803,10035,9605,3337,3203
R,7,2021,24,4319270,2216092,2103178,1621758,1526780,331567,322572,32635,31015,138661,134356,6194,5674,85277,82781,1698882,1601299,373284,363734,55156,53109,169497,163799,13021,12330,1715555,1632535,1184951,1115953,306601,299289,17927,17315,133653,129617,4475,4108,67948,66253,1246586,1175675,340244,332749,33294,32587,159653,154445,9670,9194,500537,470643,436807,410827,24966,23283,14708,13700,5008,4739,1719,1566,17329,16528,452296,425624,33040,30985,21862,20522,9844,9354,3351,3136
R,7,2021,25,4323784,2218013,2105771,1623452,1527217,328560,321833,32402,30619,144119,140191,6340,5904,83140,80007,1698480,1599198,368565,360955,55071,52586,174287,168990,13095,12503,1723781,1639411,1191531,1119638,304201,298934,17939,17096,139258,135427,4577,4246,66275,64070,1251461,1177396,336481,330659,33446,32327,164766,159742,9780,9387,494232,466360,431921,407579,24359,22899,14463,13523,4861,4764,1763,1658,16865,15937,447019,421802,32084,30296,21625,20259,9521,9248,3315,3116
R,7,2021,26,4392675,2249979,2142696,1639277,1546649,343257,335530,32664,31250,147294,144612,6504,6219,80983,78436,1711803,1616686,381585,373716,55623,53315,176758,172782,13431,12917,1753965,1673983,1205564,1137173,318474,312018,18309,17510,142296,139913,4735,4516,64587,62853,1263414,1193388,349304,342895,34277,33047,167321,163716,10073,9733,496014,468713,433713,409476,24783,23512,14355,13740,4998,4699,1769,1703,16396,15583,448389,423298,32281,30821,21346,20268,9437,9066,3358,3184
R,7,2021,27,4478812,2292120,2186692,1662123,1569125,359123,351063,33225,32086,152474,150616,6529,6383,78646,77419,1732155,1637952,395412,387966,56305,54796,181450,178454,13568,13130,1791456,1714833,1223624,1156863,333967,327226,18923,18181,147657,145862,4794,4695,62491,62006,1279268,1212021,363010,357056,34988,34269,172184,169409,10241,9924,500664,471859,438499,412262,25156,23837,14302,13905,4817,4754,1735,1688,16155,15413,452887,425931,32402,30910,21317,20527,9266,9045,3327,3206
R,7,2021,28,4548151,2324696,2223455,1681936,1591374,370215,360783,34481,32874,155920,157389,6747,6455,75397,74580,1748822,1657427,404257,395532,57212,55521,183978,184414,13577,13137,1821299,1751041,1241108,1178243,344548,336951,19586,18948,151176,152606,4914,4727,59967,59566,1294335,1231031,371636,364746,35450,34969,175127,175608,10273,9927,503397,472414,440828,413131,25667,23832,14895,13926,4744,4783,1833,1728,15430,15014,454487,426396,32621,30786,21762,20552,8851,8806,3304,3210
R,7,2021,29,4650770,2369688,2281082,1716236,1631388,375030,370014,35725,33464,161901,165550,7009,6592,73787,74074,1781276,1696519,406995,403546,58727,55986,189877,193404,13981,13506,1859985,1803851,1270354,1215015,348965,344869,20321,19509,157019,160597,5026,4853,58300,59008,1321701,1266948,373943,371450,36407,35453,180912,184287,10513,10173,509703,477231,445882,416373,26065,25145,15404,13955,4882,4953,1983,1739,15487,15066,459575,429571,33052,32096,22320,20533,8965,9117,3468,3333
