UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,4.2,2020,999,331449520,164502886,166946634,125768375,125928722,21647810,23246058,2163721,2105838,9742063,10452424,431780,415357,4749137,4798235,129998727,130179751,23808204,25475453,3544650,3540179,11514717,12206738,855664,840260,133179787,136594037,98410126,99476459,20084210,21648164,1190354,1213370,9417451,10130740,311907,303742,3765739,3821562,101765181,102861262,21780448,23408408,2164114,2245674,10916824,11612757,640728,634691,31323099,30352597,27358249,26452263,1563600,1597894,973367,892468,324612,321684,119873,111615,983398,976673,28233546,27318489,2027756,2067045,1380536,1294505,597893,593981,214936,205569
R,4.2,2020,0,3690644,1886273,1804371,1311197,1251752,297980,289002,35059,33627,111371,105032,7064,6671,123602,118287,1424772,1360432,366512,354763,58116,55792,157093,148597,15675,14826,1398074,1334404,914379,869513,263064,255305,13898,13416,103687,97715,4336,4082,98710,94373,1005611,956718,318554,308510,28636,27577,141648,133856,10612,10014,488199,469967,396818,382239,34916,33697,21161,20211,7684,7317,2728,2589,24892,23914,419161,403714,47958,46253,29480,28215,15445,14741,5063,4812
R,4.2,2020,1,3731823,1906537,1825286,1326664,1266769,298775,291294,35123,33679,114921,108178,7192,6786,123862,118580,1440448,1375679,367196,357020,58280,55957,160903,151949,15838,14990,1413342,1349129,925182,878731,263633,257206,14060,13641,107148,100795,4423,4174,98896,94582,1016553,966094,318965,310336,28865,27885,145385,137138,10740,10159,493195,476157,401482,388038,35142,34088,21063,20038,7773,7383,2769,2612,24966,23998,423895,409585,48231,46684,29415,28072,15518,14811,5098,4831
R,4.2,2020,2,3826588,1957418,1869170,1359675,1295429,306556,298408,36066,34006,121662,114025,7286,6934,126173,120368,1475554,1405953,375894,365009,59755,56696,168716,158488,16126,15288,1452916,1383954,946531,897800,272382,265181,14460,13815,113979,106697,4584,4315,100980,96146,1039772,986563,328610,319126,29656,28383,153225,143667,11076,10407,504502,485216,413144,397629,34174,33227,21606,20191,7683,7328,2702,2619,25193,24222,435782,419390,47284,45883,30099,28313,15491,14821,5050,4881
R,4.2,2020,3,3918009,2005086,1912923,1400046,1331560,306941,299175,35078,34134,128124,119627,7439,7054,127458,121373,1516989,1443022,376093,365699,59223,57258,176380,164797,16581,15576,1490517,1417883,975124,923113,272761,266150,15331,14750,120495,112375,4772,4435,102034,97060,1069210,1012728,328695,320023,30951,29674,160837,150020,11530,10691,514569,495040,424922,408447,34180,33025,19747,19384,7629,7252,2667,2619,25424,24313,447779,430294,47398,45676,28272,27584,15543,14777,5051,4885
R,4.2,2020,4,3999001,2044012,1954989,1440944,1372470,309107,302208,34589,33297,124342,117430,7287,6968,127743,122616,1558297,1485118,378253,369227,59163,56838,172371,163001,16372,15607,1519358,1450580,1004431,953063,275606,269701,15804,15103,116699,110231,4578,4390,102240,98092,1098842,1043655,331615,324009,31737,30346,156774,148202,11267,10726,524654,504409,436513,419407,33501,32507,18785,18194,7643,7199,2709,2578,25503,24524,459455,441463,46638,45218,27426,26492,15597,14799,5105,4881
R,4.2,2020,5,4026983,2056578,1970405,1446122,1380742,313136,305898,34658,33642,127803,120765,7209,7032,127650,122326,1563341,1493049,382120,372518,59318,57271,175810,166340,16369,15702,1535504,1466228,1012571,961506,279177,272971,16144,15544,120563,113718,4649,4488,102400,98001,1107078,1051945,335073,326971,32226,30897,160792,151817,11451,10929,521074,504177,433551,419236,33959,32927,18514,18098,7240,7047,2560,2544,25250,24325,456263,441104,47047,45547,27092,26374,15018,14523,4918,4773
R,4.2,2020,6,3997829,2047905,1949924,1444580,1369862,313572,304136,34849,33552,122415,115591,6854,6524,125635,120259,1559958,1480251,381295,369948,59376,56957,169569,159986,15957,15059,1529371,1453508,1012664,956822,279631,271482,16481,15735,115497,109031,4448,4216,100650,96222,1105589,1045604,334466,324828,32521,30971,154904,146041,11128,10472,518534,496416,431916,413040,33941,32654,18368,17817,6918,6560,2406,2308,24985,24037,454369,434647,46829,45120,26855,25986,14665,13945,4829,4587
R,4.2,2020,7,4003061,2044376,1958685,1440474,1375750,311066,303303,34492,33531,126963,120153,7009,6700,124372,119248,1554530,1485101,377458,367743,58844,56968,174267,164815,16220,15369,1527583,1459438,1008645,959061,278122,271404,16501,15810,120170,113464,4595,4323,99550,95376,1100395,1046968,331747,323502,32393,31100,159787,150757,11374,10679,516793,499247,431829,416689,32944,31899,17991,17721,6793,6689,2414,2377,24822,23872,454135,438133,45711,44241,26451,25868,14480,14058,4846,4690
R,4.2,2020,8,4022185,2060968,1961217,1460966,1386094,313873,303453,35765,34027,120217,113792,6683,6427,123464,117424,1574245,1493798,380150,366823,60365,57455,166498,157519,15710,15019,1534796,1457024,1020670,963950,280978,271904,16794,15989,113553,107397,4301,4124,98500,93660,1111508,1050314,334424,323043,32811,31221,152147,143812,10913,10383,526172,504193,440296,422144,32895,31549,18971,18038,6664,6395,2382,2303,24964,23764,462737,443484,45726,43780,27554,26234,14351,13707,4797,4636
