UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2023,999,334994511,166098582,168895929,125847927,126251240,22058308,23726192,2247721,2196420,10348028,11097701,455306,440677,5141292,5183699,130442644,130859965,24441451,26172578,3686951,3689618,12272860,13001770,903392,889548,133274222,136944237,97307214,98523174,20367542,21999483,1202750,1229870,9999639,10752205,327102,320379,4069975,4119126,100946853,102185934,22237132,23927661,2206651,2292303,11626052,12359200,673107,668313,32824360,31951692,28540713,27728066,1690766,1726709,1044971,966550,348389,345496,128204,120298,1071317,1064573,29495791,28674031,2204319,2244917,1480300,1397315,646808,642570,230285,221235
R,7,2023,0,3684117,1883247,1800870,1289009,1229402,313998,304632,34276,32988,113022,106165,7058,6565,125884,121118,1404794,1340775,383696,371831,57741,55659,159518,150725,15688,14793,1375295,1310877,876776,831808,276097,267976,12868,12327,105286,98683,4200,3889,100068,96194,969339,920760,332323,322143,27720,26670,143749,135522,10468,9866,507952,489993,412233,397594,37901,36656,21408,20661,7736,7482,2858,2676,25816,24924,435455,420015,51373,49688,30021,28989,15769,15203,5220,4927
R,7,2023,1,3702045,1892328,1809717,1293146,1233204,314851,305801,34455,33209,116476,109329,7186,6637,126214,121537,1409220,1344948,384649,373119,57978,55942,163188,154167,15833,14893,1380354,1315907,877537,832386,276709,268930,12860,12332,108698,101812,4285,3947,100265,96500,970266,921603,332944,323154,27716,26684,147363,138913,10567,9949,511974,493810,415609,400818,38142,36871,21595,20877,7778,7517,2901,2690,25949,25037,438954,423345,51705,49965,30262,29258,15825,15254,5266,4944
R,7,2023,2,3607008,1843793,1763215,1258998,1200431,306120,297388,33579,32310,115228,108371,7022,6535,122846,118180,1371973,1309085,374000,362801,56454,54380,160759,152047,15435,14560,1345696,1282898,854554,810461,269166,261596,12495,11956,107655,101050,4199,3891,97627,93944,944838,897312,323852,314332,26943,25899,145387,137248,10322,9735,498097,480317,404444,389970,36954,35792,21084,20354,7573,7321,2823,2644,25219,24236,427135,411773,50148,48469,29511,28481,15372,14799,5113,4825
R,7,2023,3,3710782,1896945,1813837,1311362,1251490,300854,291751,35141,33592,117870,111209,7084,6665,124634,119130,1425904,1360957,369807,357790,58332,55833,164126,155291,15713,14837,1400220,1336566,907494,863019,265246,257443,13609,13116,110202,103936,4358,4039,99311,95013,999279,950809,320894,310817,28332,27267,148634,140577,10646,9991,496725,477271,403868,388471,35608,34308,21532,20476,7668,7273,2726,2626,25323,24117,426625,410148,48913,46973,30000,28566,15492,14714,5067,4846
R,7,2023,4,3759544,1919908,1839636,1330188,1270897,302437,295248,35743,34366,119820,113104,7284,6852,124436,119169,1444455,1380324,371199,361279,59020,56751,166039,157154,15926,15065,1416897,1353548,920670,874676,266705,260583,14114,13642,111916,105623,4469,4215,99023,94809,1012111,962224,322077,313798,28882,27851,150322,142178,10773,10192,503011,486088,409518,396221,35732,34665,21629,20724,7904,7481,2815,2637,25413,24360,432344,418100,49122,47481,30138,28900,15717,14976,5153,4873
R,7,2023,5,3846147,1966333,1879814,1361442,1298112,308995,301568,36414,34477,125445,117509,7347,7006,126690,121142,1477788,1409333,378684,368567,60138,57205,172711,162383,16212,15393,1456050,1387932,944353,895636,273956,267570,14148,13644,117787,110113,4635,4377,101171,96592,1037766,984794,330265,321652,29251,28136,157245,147481,11141,10508,510283,491882,417089,402476,35039,33998,22266,20833,7658,7396,2712,2629,25519,24550,440022,424539,48419,46915,30887,29069,15466,14902,5071,4885
R,7,2023,6,3922526,2007487,1915039,1395491,1327223,309569,301343,35593,34570,131645,123256,7539,7176,127650,121471,1512618,1438723,378823,367978,59718,57684,180018,168490,16658,15680,1487838,1414823,966868,915085,275048,267811,15189,14568,123931,115956,4835,4546,101967,96857,1060889,1004454,330869,321564,30689,29381,164404,153640,11576,10777,519649,500216,428623,412138,34521,33532,20404,20002,7714,7300,2704,2630,25683,24614,451729,434269,47954,46414,29029,28303,15614,14850,5082,4903
R,7,2023,7,4023418,2056337,1967081,1445576,1376772,310291,304233,35177,33904,129074,121757,7409,7158,128810,123257,1563846,1489977,379995,371430,59879,57584,177661,167746,16564,15840,1524028,1455505,1003097,951518,276342,271339,15712,15111,121328,114519,4686,4569,102863,98449,1098019,1042406,332632,325645,31621,30367,161864,152882,11428,10944,532309,511576,442479,425254,33949,32894,19465,18793,7746,7238,2723,2589,25947,24808,465827,447571,47363,45785,28258,27217,15797,14864,5136,4896
R,7,2023,8,4057825,2072866,1984959,1454500,1388604,316206,308344,34939,33975,131396,123661,7344,7158,128481,123217,1572446,1501748,385761,375483,59755,57713,179656,169607,16491,15811,1541692,1471840,1012406,961821,281738,274947,16068,15376,123992,116582,4706,4592,102782,98522,1107224,1052753,337892,329237,32152,30700,164414,154988,11484,10995,531174,513119,442094,426783,34468,33397,18871,18599,7404,7079,2638,2566,25699,24695,465222,448995,47869,46246,27603,27013,15242,14619,5007,4816
