UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2022,999,332662461,164998829,167663632,125597585,125915747,21808088,23450797,2203963,2150499,9994257,10720583,443136,427565,4951800,4998441,130016796,130353013,24085196,25794287,3614035,3614669,11844672,12551812,879365,864799,132970023,136538696,97692115,98853920,20181806,21788589,1195372,1221024,9657626,10386619,319014,311473,3924090,3977071,101195830,102384437,21970134,23638299,2184296,2268705,11221641,11932520,656560,651138,32028806,31124936,27905470,27061827,1626282,1662208,1008591,929475,336631,333964,124122,116092,1027710,1021370,28820966,27968576,2115062,2155988,1429739,1345964,623031,619292,222805,213661
R,1,2022,0,3650744,1866431,1784313,1277840,1218368,311015,301657,33964,32720,111754,104927,6995,6513,124863,120128,1392689,1328836,380157,368311,57242,55193,157864,149124,15557,14676,1364173,1299858,870401,825461,273454,265348,12770,12225,104093,97519,4166,3856,99289,95449,962248,913726,329250,319107,27518,26457,142245,134065,10387,9790,502258,484455,407439,392907,37561,36309,21194,20495,7661,7408,2829,2657,25574,24679,430441,415110,50907,49204,29724,28736,15619,15059,5170,4886
R,1,2022,1,3615803,1848659,1767144,1269602,1211010,303269,293656,34271,32799,110702,104248,6954,6517,123861,118914,1383520,1320366,371957,359709,57311,54978,156423,148032,15455,14614,1352446,1289789,867184,823907,266635,258165,12859,12364,103069,96872,4208,3898,98491,94583,958290,911381,322054,311476,27442,26414,140901,133115,10377,9780,496213,477355,402418,387103,36634,35491,21412,20435,7633,7376,2746,2619,25370,24331,425230,408985,49903,48233,29869,28564,15522,14917,5078,4834
R,1,2022,2,3707826,1894773,1813053,1315962,1255722,298178,290694,35163,33785,115155,108261,7149,6710,123166,117881,1429089,1363980,366211,356015,58188,55951,160922,151825,15745,14836,1404037,1339613,916855,870346,263199,256800,13859,13430,107434,100931,4397,4117,98293,93989,1007654,957143,318203,309583,28550,27579,145475,137110,10671,10041,490736,473440,399107,385376,34979,33894,21304,20355,7721,7330,2752,2593,24873,23892,421435,406837,48008,46432,29638,28372,15447,14715,5074,4795
R,1,2022,3,3764571,1923580,1840991,1334743,1273850,302220,294927,35572,34179,118922,111785,7263,6862,124860,119388,1449414,1383469,371111,361024,58897,56590,165396,155962,15972,15122,1424594,1359416,928613,881503,266835,260584,13981,13563,111079,104360,4478,4231,99608,95175,1020611,969377,322486,313959,28838,27861,149744,141073,10835,10260,498986,481575,406130,392347,35385,34343,21591,20616,7843,7425,2785,2631,25252,24213,428803,414092,48625,47065,30059,28729,15652,14889,5137,4862
R,1,2022,4,3853783,1971908,1881875,1368774,1303517,308096,299454,35843,33820,125231,117307,7352,6982,126612,120795,1484987,1414444,377479,366274,59649,56598,172638,161911,16314,15389,1463641,1392730,951253,901414,273905,266287,14802,14118,117654,110039,4697,4386,101330,96486,1044736,990495,330085,320381,30106,28739,157263,147154,11309,10524,508267,489145,417521,402103,34191,33167,21041,19702,7577,7268,2655,2596,25282,24309,440251,423949,47394,45893,29543,27859,15375,14757,5005,4865
R,1,2022,5,3965664,2028110,1937554,1419308,1351301,307671,300937,35357,34228,129929,121731,7459,7092,128386,122265,1537172,1463590,377156,367661,59786,57620,178529,167409,16636,15676,1505893,1435522,987143,936078,273526,267848,15565,14946,122228,114448,4767,4480,102664,97722,1081873,1026301,329654,321810,31345,30040,162841,152545,11536,10787,522217,502032,432165,415223,34145,33089,19792,19282,7701,7283,2692,2612,25722,24543,455299,437289,47502,45851,28441,27580,15688,14864,5100,4889
R,1,2022,6,4017140,2053215,1963925,1445182,1377035,312179,304518,34666,33446,126011,118946,7299,7067,127878,122913,1562648,1489936,381433,371706,59289,57036,174034,164639,16382,15751,1525665,1455864,1006041,954553,278381,271654,15893,15172,118419,111731,4595,4461,102336,98293,1100524,1045310,334433,326050,31854,30419,158527,149836,11300,10847,527550,508061,439141,422482,33798,32864,18773,18274,7592,7215,2704,2606,25542,24620,462124,444626,47000,45656,27435,26617,15507,14803,5082,4904
R,1,2022,7,4039879,2064400,1975479,1452414,1383562,313791,306668,34726,33945,128909,122180,7186,6989,127374,122135,1569364,1495701,382462,373182,59400,57604,176937,167603,16337,15623,1540766,1470354,1016559,963508,279627,273682,16125,15604,121708,115263,4642,4516,102105,97781,1110785,1053746,335183,327550,32195,30955,161979,153247,11429,10933,523634,505125,435855,420054,34164,32986,18601,18341,7201,6917,2544,2473,25269,24354,458579,441955,47279,45632,27205,26649,14958,14356,4908,4690
R,1,2022,8,3999860,2047631,1952229,1443095,1370930,313607,304471,35209,33803,123508,116588,6875,6568,125337,119869,1558143,1480907,381005,369866,59729,57212,170701,161015,16045,15133,1527369,1453431,1009592,955546,279853,272061,16526,15730,116641,110019,4495,4251,100262,95824,1102104,1043915,334316,324995,32516,30957,156067,147052,11216,10501,520262,498798,433503,415384,33754,32410,18683,18073,6867,6569,2380,2317,25075,24045,456039,436992,46689,44871,27213,26255,14634,13963,4829,4632
