UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2021,999,331778818,164631832,167146986,125660598,125872411,21702926,23317567,2179789,2123615,9819082,10532462,436131,419898,4833306,4881033,129969472,130200565,23912288,25594633,3572737,3570142,11623596,12318165,865125,849914,133039759,136498342,98096484,99188702,20114693,21694345,1192476,1216605,9489581,10205770,314526,306472,3831999,3886448,101513836,102634434,21850074,23492538,2172692,2255390,11015306,11713744,646940,641019,31592073,30648644,27564114,26683709,1588233,1623222,987313,907010,329501,326692,121605,113426,1001307,994585,28455636,27566131,2062214,2102095,1400045,1314752,608290,604421,218185,208895
R,1,2021,0,3604055,1842783,1761272,1266960,1208486,302768,292919,34159,32661,108336,102055,6878,6468,123682,118683,1380716,1317633,371414,358918,57177,54808,153928,145672,15372,14556,1349157,1286394,866725,823469,266289,257566,12865,12371,100733,94701,4157,3859,98388,94428,957741,910807,321712,310863,27459,26419,138441,130793,10319,9737,493626,474878,400235,385017,36479,35353,21294,20290,7603,7354,2721,2609,25294,24255,422975,406826,49702,48055,29718,28389,15487,14879,5053,4819
R,1,2021,1,3695799,1888664,1807135,1313104,1253049,297422,289897,35035,33661,113074,106181,7116,6686,122913,117661,1426004,1361111,365367,355163,58029,55791,158683,149595,15701,14800,1400468,1336100,916151,869737,262577,256144,13860,13424,105378,98871,4372,4097,98130,93827,1006806,956395,317552,308904,28553,27563,143269,134904,10638,10010,488196,471035,396953,383312,34845,33753,21175,20237,7696,7310,2744,2589,24783,23834,419198,404716,47815,46259,29476,28228,15414,14691,5063,4790
R,1,2021,2,3752924,1917729,1835195,1331875,1270930,301405,294123,35445,34056,117188,110094,7242,6836,124574,119156,1446294,1380341,370189,360138,58717,56431,163494,154133,15936,15082,1421221,1356160,927839,880768,266147,259903,13984,13560,109362,102687,4458,4211,99431,95031,1019686,968514,321763,313256,28831,27855,147871,139270,10805,10229,496508,479035,404036,390162,35258,34220,21461,20496,7826,7407,2784,2625,25143,24125,426608,411827,48426,46882,29886,28576,15623,14863,5131,4853
R,1,2021,3,3842554,1966185,1876369,1365826,1300773,307282,298550,35706,33694,123679,115870,7325,6955,126367,120527,1481818,1411461,376563,365263,59462,56422,170963,160325,16271,15349,1460431,1389751,950413,900792,273222,265515,14805,14124,116108,108623,4672,4364,101211,96333,1043791,989743,329386,319580,30105,28736,155609,145604,11275,10492,505754,486618,415413,399981,34060,33035,20901,19570,7571,7247,2653,2591,25156,24194,438027,421718,47177,45683,29357,27686,15354,14721,4996,4857
R,1,2021,4,3954913,2022585,1932328,1416363,1348639,306861,300074,35220,34096,128563,120443,7431,7058,128147,122018,1534012,1460700,376243,366692,59601,57439,177050,165995,16589,15629,1502973,1432746,986366,935475,272864,267123,15568,14950,120883,113174,4748,4448,102544,97576,1080991,1025569,328963,321047,31344,30040,161400,151152,11504,10745,519612,499582,429997,413164,33997,32951,19652,19146,7680,7269,2683,2610,25603,24442,453021,435131,47280,45645,28257,27399,15650,14843,5085,4884
R,1,2021,5,4006839,2047955,1958884,1442301,1374385,311356,303661,34543,33304,124849,117826,7260,7014,127646,122694,1559557,1487087,380511,370755,59127,56843,172750,163415,16329,15685,1523020,1453253,1005351,953952,277710,270927,15897,15175,117281,110615,4574,4409,102207,98175,1099720,1044606,333733,325294,31857,30414,157280,148624,11268,10786,524935,505631,436950,420433,33646,32734,18646,18129,7568,7211,2686,2605,25439,24519,459837,442481,46778,45461,27270,26429,15470,14791,5061,4899
R,1,2021,6,4030123,2059460,1970663,1449753,1380970,312967,305862,34602,33789,127835,121155,7157,6944,127146,121943,1566499,1492938,381531,372299,59233,57407,175751,166486,16297,15565,1538276,1467950,1015939,962944,278942,273002,16128,15608,120655,114243,4621,4474,101991,97679,1110066,1053094,334472,326846,32197,30958,160827,152143,11401,10879,521184,502713,433814,418026,34025,32860,18474,18181,7180,6912,2536,2470,25155,24264,456433,439844,47059,45453,27036,26449,14924,14343,4896,4686
R,1,2021,7,3990308,2042704,1947604,1440439,1368404,312770,303677,35088,33676,122423,115629,6852,6522,125132,119696,1555297,1478226,380072,369006,59567,57041,169523,159972,16012,15079,1524888,1451138,1008968,955001,279171,271394,16522,15733,115580,109068,4473,4209,100174,95733,1101397,1043292,333621,324311,32515,30953,154930,146026,11188,10454,517816,496466,431471,413403,33599,32283,18566,17943,6843,6561,2379,2313,24958,23963,453900,434934,46451,44695,27052,26088,14593,13946,4824,4625
R,1,2021,8,4018220,2053322,1964898,1447534,1381011,312830,304407,34743,33584,126819,119915,6964,6710,124432,119271,1561648,1490379,379313,368787,59183,57124,174032,164559,16127,15422,1533344,1462524,1012947,961267,279677,272410,16609,15959,120059,113250,4557,4334,99495,95304,1104646,1049103,333321,324419,32534,31295,159578,150500,11295,10723,519978,502374,434587,419744,33153,31997,18134,17625,6760,6665,2407,2376,24937,23967,457002,441276,45992,44368,26649,25829,14454,14059,4832,4699
