UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2023,999,334233854,165737126,168496728,125768512,126147972,21973887,23634728,2233645,2181674,10229997,10972282,451328,436399,5079757,5123673,130306226,130701133,24322607,26047814,3663493,3665519,12130575,12852684,895577,881500,133172654,136812965,97436061,98636444,20303851,21928643,1200342,1227013,9885392,10630436,324454,317481,4022554,4072948,101031511,102256233,22147055,23831377,2199436,2284653,11491462,12217492,667719,662725,32564472,31683763,28332451,27511528,1670036,1706085,1033303,954661,344605,341846,126874,118918,1057203,1050725,29274715,28444900,2175552,2216437,1464057,1380866,639113,635192,227858,218775
R,1,2023,0,3683767,1883129,1800638,1288953,1229220,313930,304584,34275,32992,113016,106148,7059,6564,125896,121130,1404748,1340605,383639,371785,57747,55663,159513,150720,15687,14791,1375136,1310608,876691,831594,276027,267927,12867,12329,105280,98667,4198,3889,100073,96202,969258,920555,332255,322099,27724,26672,143744,135510,10466,9864,507993,490030,412262,397626,37903,36657,21408,20663,7736,7481,2861,2675,25823,24928,435490,420050,51384,49686,30023,28991,15769,15210,5221,4927
R,1,2023,1,3669676,1875905,1793771,1282220,1222623,312020,302991,34148,32936,115207,108111,7121,6588,125189,120522,1397357,1333441,381257,369756,57472,55470,161539,152568,15698,14773,1369672,1305499,871434,826506,274219,266469,12770,12223,107500,100669,4253,3912,99496,95720,963455,915005,330034,320268,27515,26460,145860,137459,10488,9862,506233,488272,410786,396117,37801,36522,21378,20713,7707,7442,2868,2676,25693,24802,433902,418436,51223,49488,29957,29010,15679,15109,5210,4911
R,1,2023,2,3633919,1857800,1776119,1273891,1215086,304423,294939,34453,32984,113782,107296,7000,6557,124251,119257,1388157,1324742,373249,361087,57555,55218,159737,151305,15523,14680,1357885,1295225,868331,824969,267597,259232,12856,12372,106115,99889,4242,3936,98744,94827,959658,912651,323061,312582,27449,26428,144172,136348,10430,9841,499915,480894,405560,390117,36826,35707,21597,20612,7667,7407,2758,2621,25507,24430,428499,412091,50188,48505,30106,28790,15565,14957,5093,4839
R,1,2023,3,3725192,1903548,1821644,1320274,1260013,299415,291908,35347,33962,117721,110791,7188,6744,123603,118226,1433789,1368577,367615,357348,58446,56181,163739,154566,15812,14891,1409145,1344537,918070,871485,264244,257829,13858,13436,109975,103432,4431,4145,98567,94210,1009105,958474,319305,310652,28562,27587,148247,139805,10728,10086,494403,477107,402204,388528,35171,34079,21489,20526,7746,7359,2757,2599,25036,24016,424684,410103,48310,46696,29884,28594,15492,14761,5084,4805
R,1,2023,4,3781178,1932047,1849131,1339102,1277971,303471,296253,35762,34367,121192,113886,7302,6902,125218,119752,1454097,1387914,372517,362493,59154,56841,167846,158268,16030,15179,1429433,1363863,929917,882506,267889,261722,13977,13556,113340,106431,4514,4264,99796,95384,1022081,970557,323574,315137,28840,27861,152166,143327,10884,10305,502614,485268,409185,395465,35582,34531,21785,20811,7852,7455,2788,2638,25422,24368,432016,417357,48943,47356,30314,28980,15680,14941,5146,4874
R,1,2023,5,3869665,1980091,1889574,1373140,1307395,309301,300763,36036,34018,127263,119215,7390,7035,126961,121148,1489666,1418639,378838,367730,59912,56860,174838,164007,16372,15459,1468064,1396856,952473,902306,274897,267392,14799,14115,119659,111923,4727,4433,101509,96687,1046109,991563,331117,321530,30109,28738,159419,149208,11356,10583,512027,492718,420667,405089,34404,33371,21237,19903,7604,7292,2663,2602,25452,24461,443557,427076,47721,46200,29803,28122,15419,14799,5016,4876
R,1,2023,6,3980874,2035937,1944937,1423613,1355194,308891,302203,35542,34426,131664,123393,7514,7162,128713,122559,1541770,1467743,378503,369044,60030,57877,180443,169226,16707,15761,1509919,1439385,988260,936994,274524,268915,15562,14940,123925,116105,4801,4548,102847,97883,1083150,1027358,330682,322905,31345,30040,164700,154343,11583,10867,526018,505552,435353,418200,34367,33288,19980,19486,7739,7288,2713,2614,25866,24676,458620,440385,47821,46139,28685,27837,15743,14883,5124,4894
R,1,2023,7,4031626,2060593,1971033,1449201,1380859,313383,305718,34846,33664,127601,120473,7346,7134,128216,123185,1566971,1494001,382797,373014,59535,57312,175784,166304,16447,15836,1529412,1459453,1007035,955424,279383,272660,15894,15164,119971,113248,4628,4525,102501,98432,1101663,1046300,335472,327084,31854,30410,160219,151473,11344,10924,531181,511580,442166,425435,34000,33058,18952,18500,7630,7225,2718,2609,25715,24753,465308,447701,47325,45930,27681,26902,15565,14831,5103,4912
R,1,2023,8,4053915,2071629,1982286,1456316,1387283,315018,307812,34904,34138,130488,123615,7216,7053,127687,122385,1573547,1499647,383829,374419,59639,57853,178666,169166,16383,15702,1544456,1473748,1017519,964337,280637,274642,16129,15599,123254,116686,4669,4575,102248,97909,1111869,1054686,336216,328531,32199,30954,163652,154782,11466,11002,527173,508538,438797,422946,34381,33170,18775,18539,7234,6929,2547,2478,25439,24476,461678,444961,47613,45888,27440,26899,15014,14384,4917,4700
