UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,999,331511512,164525109,166986403,125734173,125906229,21654382,23258860,2168621,2111151,9759023,10469271,432970,416586,4775940,4824306,129989569,130181585,23830463,25503389,3553407,3549348,11541668,12233321,858507,843104,133124575,136548387,98316956,99387212,20083731,21653760,1191241,1214548,9432959,10146157,312583,304384,3787105,3842326,101692135,102791539,21792719,23426314,2167206,2249035,10940580,11636236,642570,636473,31400534,30438016,27417217,26519017,1570651,1605100,977380,896603,326064,323114,120387,112202,988835,981980,28297434,27390046,2037744,2077075,1386201,1300313,601088,597085,215937,206631
R,7,2020,0,3669863,1876349,1793514,1301632,1242014,298366,289018,34721,33163,110920,104417,6948,6563,123762,118339,1415395,1350780,367021,354828,57787,55287,156639,147971,15530,14691,1388331,1324739,905142,860806,263225,255176,13620,13110,103326,97213,4255,3955,98763,94479,996455,948136,318795,308470,28338,27255,141251,133360,10501,9873,488018,468775,396490,381208,35141,33842,21101,20053,7594,7204,2693,2608,24999,23860,418940,402644,48226,46358,29449,28032,15388,14611,5029,4818
R,7,2020,1,3719267,1899515,1819752,1320084,1261102,299593,292309,35310,33930,113813,107300,7192,6761,123523,118350,1433538,1369800,367999,358049,58430,56185,159524,150864,15788,14928,1405150,1342353,917878,872284,264322,258091,14125,13640,105954,99889,4389,4141,98482,94308,1008852,959397,319591,311222,28878,27843,143888,135995,10653,10083,494365,477399,402206,388818,35271,34218,21185,20290,7859,7411,2803,2620,25041,24042,424686,410403,48408,46827,29552,28342,15636,14869,5135,4845
R,7,2020,2,3807454,1946596,1860858,1351243,1288588,306136,298503,35959,34031,120176,112536,7254,6902,125828,120298,1466819,1399061,375468,365169,59519,56629,166995,156935,16068,15241,1445065,1377628,941500,893412,271575,264970,14157,13654,112561,105202,4554,4289,100718,96101,1034522,982148,327805,318958,29249,28144,151617,142138,11025,10380,501531,483230,409743,395176,34561,33533,21802,20377,7615,7334,2700,2613,25110,24197,432297,416913,47663,46211,30270,28485,15378,14797,5043,4861
R,7,2020,3,3885476,1988444,1897032,1385266,1317977,306731,298314,35136,34111,127029,118903,7428,7044,126854,120683,1501676,1428772,375644,364630,59101,57078,175007,163714,16502,15503,1477733,1405276,964121,912967,272710,265259,15196,14583,119385,111640,4755,4423,101566,96404,1057793,1001943,328453,318919,30691,29382,159510,148938,11465,10619,510711,491756,421145,405010,34021,33055,19940,19528,7644,7263,2673,2621,25288,24279,443883,426829,47191,45711,28410,27696,15497,14776,5037,4884
R,7,2020,4,3987970,2038216,1949754,1435700,1367619,307458,301327,34744,33414,125006,117848,7294,6998,128014,122548,1553261,1480184,376814,368239,59291,56945,173193,163473,16406,15639,1514748,1446573,1000615,949427,274006,268895,15716,15127,117349,110635,4612,4417,102450,98072,1095182,1039983,330211,323127,31616,30376,157531,148672,11321,10765,523468,503181,435085,418192,33452,32432,19028,18287,7657,7213,2682,2581,25564,24476,458079,440201,46603,45112,27675,26569,15662,14801,5085,4874
R,7,2020,5,4023811,2055471,1968340,1445076,1379622,313338,305557,34506,33489,127603,120098,7248,6996,127700,122578,1562327,1492194,382547,372442,59171,57091,175472,165720,16354,15614,1532876,1463482,1010133,959816,279376,272603,16069,15390,120279,113039,4634,4442,102385,98192,1104609,1050460,335453,326828,32142,30708,160357,151160,11382,10820,522595,504858,434943,419806,33962,32954,18437,18099,7324,7059,2614,2554,25315,24386,457718,441734,47094,45614,27029,26383,15115,14560,4972,4794
R,7,2020,6,4012049,2054468,1957581,1448556,1373992,313898,304985,34749,33482,123962,117364,6946,6675,126357,121083,1564618,1485186,381928,371191,59324,56945,171534,162137,16094,15296,1534524,1459314,1015684,959509,279702,272164,16411,15689,116950,110700,4509,4313,101268,96939,1109195,1048997,334777,325849,32469,30949,156748,148054,11247,10667,519944,498267,432872,414483,34196,32821,18338,17793,7012,6664,2437,2362,25089,24144,455423,436189,47151,45342,26855,25996,14786,14083,4847,4629
R,7,2020,7,3999001,2043682,1955319,1439582,1373354,311770,303684,34416,33215,126168,119039,6967,6632,124779,119395,1554051,1482821,378499,368360,58790,56660,173542,163668,16185,15254,1527558,1457238,1008500,957655,278620,271605,16566,15816,119358,112369,4576,4287,99938,95506,1100649,1045663,332575,323929,32492,31116,159011,149622,11352,10590,516124,498081,431082,415699,33150,32079,17850,17399,6810,6670,2391,2345,24841,23889,453402,437158,45924,44431,26298,25544,14531,14046,4833,4664
R,7,2020,8,4006214,2050583,1955631,1451149,1379931,312872,302946,35457,34147,121157,114646,6725,6458,123223,117503,1564189,1487689,378986,366414,59911,57515,167458,158421,15745,15061,1528921,1454022,1015002,960356,280061,271498,16620,15965,114477,108227,4348,4163,98413,93813,1105741,1046840,333393,322758,32553,31173,153160,144717,10967,10451,521662,501609,436147,419575,32811,31448,18837,18182,6680,6419,2377,2295,24810,23690,458448,440849,45593,43656,27358,26342,14298,13704,4778,4610
