UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2022,999,333287557,165283553,168004004,125624209,125977965,21872855,23526888,2217408,2164826,10109438,10844503,447009,431799,5012634,5058023,130099842,130470449,24184185,25903565,3636565,3638091,11983776,12699232,887006,872750,133006615,136616596,97521380,98704586,20226190,21844281,1197400,1223572,9769094,10506931,321585,314343,3970966,4022883,101068838,102277803,22040749,23719352,2190902,2275810,11353229,12072633,661815,656662,32276938,31387408,28102829,27273379,1646665,1682607,1020008,941254,340344,337572,125424,117456,1041668,1035140,29031004,28192646,2143436,2184213,1445663,1362281,630547,626599,225191,216088
R,7,2022,0,3683113,1882867,1800246,1288788,1228927,313852,304466,34276,32994,113027,106138,7058,6564,125866,121157,1404557,1340335,383539,371686,57741,55671,159514,150715,15689,14793,1374834,1310227,876488,831312,275945,267808,12864,12332,105289,98655,4200,3888,100048,96232,969033,920298,332157,321994,27716,26682,143743,135510,10470,9870,508033,490019,412300,397615,37907,36658,21412,20662,7738,7483,2858,2676,25818,24925,435524,420037,51382,49692,30025,28989,15771,15205,5219,4923
R,7,2022,1,3588817,1834594,1754223,1254684,1196340,304946,296110,33397,32128,112132,105315,6975,6491,122460,117839,1367310,1304696,372694,361428,56214,54146,157426,148757,15366,14498,1340224,1277462,853396,809383,268187,260536,12495,11953,104600,98027,4164,3853,97382,93710,943468,896032,322833,313233,26939,25894,142111,134014,10264,9684,494370,476761,401288,386957,36759,35574,20902,20175,7532,7288,2811,2638,25078,24129,423842,408664,49861,48195,29275,28252,15315,14743,5102,4814
R,7,2022,2,3693362,1888149,1805213,1307013,1247158,299587,290535,34961,33415,115318,108676,7043,6633,124227,118796,1421191,1356326,368386,356458,58087,55600,161343,152552,15652,14789,1395069,1331606,906239,861850,264172,256406,13614,13110,107668,101430,4324,4012,99052,94798,997798,949456,319768,309739,28331,27253,145880,137881,10595,9952,493080,473607,400774,385308,35415,34129,21347,20305,7650,7246,2719,2621,25175,23998,423393,406870,48618,46719,29756,28347,15463,14671,5057,4837
R,7,2022,3,3742836,1911373,1831463,1325806,1266746,301158,293924,35553,34175,117540,110999,7250,6809,124066,118810,1439744,1375854,369759,359811,58756,56502,163573,154852,15874,15004,1412006,1349082,919350,873643,265625,259450,14117,13645,109650,103551,4435,4182,98829,94611,1010624,961017,320956,312630,28877,27854,147889,139930,10727,10147,499367,482381,406456,393103,35533,34474,21436,20530,7890,7448,2815,2627,25237,24199,429120,414837,48803,47181,29879,28648,15684,14922,5147,4857
R,7,2022,4,3830225,1958112,1872113,1357033,1294238,307793,300237,36213,34285,123422,115612,7305,6959,126346,120782,1473072,1405141,377338,367092,59866,56952,170514,160288,16149,15327,1451595,1383787,943098,894745,272962,266447,14149,13648,115788,108235,4601,4333,100997,96379,1036362,983719,329242,320486,29246,28132,155093,145423,11094,10448,506517,488326,413935,399493,34831,33790,22064,20637,7634,7377,2704,2626,25349,24403,436710,421422,48096,46606,30620,28820,15421,14865,5055,4879
R,7,2022,5,3907298,1999653,1907645,1391168,1323332,308366,300075,35410,34370,129907,121594,7486,7106,127316,121168,1507993,1434561,377479,366582,59468,57422,178112,166672,16587,15591,1483809,1410941,965734,914159,274063,266742,15190,14574,122235,114303,4804,4479,101783,96684,1059596,1003379,329839,320453,30683,29381,162555,151843,11531,10696,515844,496704,425434,409173,34303,33333,20220,19796,7672,7291,2682,2627,25533,24484,448397,431182,47640,46129,28785,28041,15557,14829,5056,4895
R,7,2022,6,4008898,2048936,1959962,1441536,1372917,309088,303052,34999,33684,127487,120227,7365,7088,128461,122994,1559498,1485884,378641,370151,59637,57301,175894,166083,16500,15756,1520239,1451913,1002073,950622,275341,270346,15711,15119,119782,112999,4657,4503,102675,98324,1096834,1041398,331594,324635,31612,30374,160160,151246,11385,10870,528697,508049,439463,422295,33747,32706,19288,18565,7705,7228,2708,2585,25786,24670,462664,444486,47047,45516,28025,26927,15734,14837,5115,4886
R,7,2022,7,4043729,2065602,1978127,1450589,1384840,314975,307208,34754,33790,129816,122231,7311,7095,128157,122963,1568244,1497759,384378,374244,59502,57475,177924,168048,16442,15734,1537988,1468437,1011450,960967,280731,273997,16065,15384,122439,115162,4677,4537,102626,98390,1106131,1051786,336855,328261,32145,30706,162727,153452,11443,10929,527614,509690,439139,423873,34244,33211,18689,18406,7377,7069,2634,2558,25531,24573,462113,445973,47523,45983,27357,26769,15197,14596,4999,4805
R,7,2022,8,4031341,2064359,1966982,1453893,1379110,315555,306589,34996,33749,126123,119331,6997,6765,126795,121438,1570349,1490617,383790,372940,59658,57290,173903,164284,16166,15406,1539526,1463991,1016956,960637,281066,273507,16411,15679,119067,112654,4551,4392,101475,97122,1110651,1050280,336180,327231,32470,30941,159046,150166,11302,10762,524833,502991,436937,418473,34489,33082,18585,18070,7056,6677,2446,2373,25320,24316,459698,440337,47610,45709,27188,26349,14857,14118,4864,4644
R,7,2022,9,4017929,2053396,1964533,1444768,1378357,313463,305297,34652,33425,128322,121027,7022,6708,125169,119719,1559589,1488114,380368,370100,59102,56936,175885,165824,16262,15348,1532521,1461797,1009769,958671,279957,272937,16565,15812,121482,114338,4627,4358,100121,95681,1102078,1046831,333946,325295,32490,31115,161298,151744,11419,10675,520875,502736,434999,419686,33506,32360,18087,17613,6840,6689,2395,2350,25048,24038,457511,441283,46422,44805,26612,25821,14587,14080,4843,4673
R,7,2022,10,4024547,2059922,1964625,1455948,1384725,314564,304617,35676,34304,123376,116664,6771,6511,123587,117804,1569310,1492750,380852,368222,60195,57736,169855,160580,15810,15133,1533781,1458444,1016106,961262,281409,272818,16615,15958,116664,110233,4390,4208,98597,93965,1106998,1047873,334781,324106,32551,31170,155510,146853,11024,10512,526141,506181,439842,423463,33155,31799,19061,18346,6712,6431,2381,2303,24990,23839,462312,444877,46071,44116,27644,26566,14345,13727,4786,4621
R,7,2022,11,4068564,2087189,1981375,1484153,1404512,316943,306172,34245,32936,121072,114034,6690,6380,124086,117341,1598053,1512131,383373,369359,59118,56697,167547,157593,15819,14917,1547331,1463629,1027648,967605,285245,275043,16915,15999,114499,107807,4348,4123,98676,93052,1118668,1053368,338669,325713,33034,31347,153177,143994,11020,10324,539858,517746,456505,436907,31698,31129,17330,16937,6573,6227,2342,2257,25410,24289,479385,458763,44704,43646,26084,25350,14370,13599,4799,4593
R,7,2022,12,4152811,2127260,2025551,1521899,1443214,321767,310566,33818,32657,119580,113835,6417,6301,123779,118978,1635810,1552449,388207,374993,58783,57015,165325,157291,15308,14798,1571552,1493374,1048209,989631,290587,280575,17092,16757,113270,107907,4323,4206,98071,94298,1138892,1076596,343877,332163,33122,32564,151257,144060,10838,10371,555708,532177,473690,453583,31180,29991,16726,15900,6310,5928,2094,2095,25708,24680,496918,475853,44330,42830,25661,24451,14068,13231,4470,4427
R,7,2022,13,4240884,2171725,2069159,1559956,1479283,330679,320138,34079,32723,118543,113672,6485,6461,121983,116882,1671947,1586732,396376,383744,58822,56023,163176,156012,15145,14813,1607878,1530417,1077515,1018491,299382,289879,17631,17061,112167,107722,4393,4385,96790,92879,1166777,1104285,352248,341230,33554,32007,149349,143073,10759,10513,563847,538742,482441,460792,31297,30259,16448,15662,6376,5950,2092,2076,25193,24003,505170,482447,44128,42514,25268,24016,13827,12939,4386,4300
R,7,2022,14,4403033,2255757,2147276,1623766,1537882,343130,332567,35698,34072,123586,118187,6749,6497,122828,118071,1736445,1646183,409203,397137,60502,57945,168502,160652,15730,14807,1669005,1589116,1119847,1059436,311002,301581,18424,17800,117327,112175,4611,4328,97794,93796,1209925,1145813,364471,353783,34477,33089,154852,147553,11182,10434,586752,558160,503919,478446,32128,30986,17274,16272,6259,6012,2138,2169,25034,24275,526520,500370,44732,43354,26025,24856,13650,13099,4548,4373
R,7,2022,15,4396566,2253101,2143465,1628915,1543897,341446,329117,36069,34169,121715,115612,6650,6559,118306,114111,1737458,1648362,404773,390845,60416,57755,165030,156727,15323,14882,1669668,1586997,1127441,1065386,309926,298970,18307,17845,115365,109757,4562,4414,94067,90625,1214140,1148664,361061,348959,34081,32984,151429,144066,10949,10516,583433,556468,501474,478511,31520,30147,17762,16324,6350,5855,2088,2145,24239,23486,523318,499698,43712,41886,26335,24771,13601,12661,4374,4366
